gid,role,role_score,cluster_id,priority_score,evidence,depth,is_seed,in_deg,out_deg,in_sum,out_sum,pass_ratio,seed_reach,seed_kzt_attributed,secondary_roles,outflow_observed,inflow_reliable
100000000011452100,peripheral,0.6,3,0.513866,"No role indicators: 3 payers, 1 recipient, 110k KZT in / 17k KZT out.",1,False,3,1,110000.0,16685.0,0.1516818181818182,7,76825.8554065064,,True,True
100000000018102100,cutoff,0.7,3,0.346328,Hop-4 node: onward transfers were not traced (export limit). Receives 7k KZT from 1 payer.,4,False,1,0,7000.0,0.0,,7,75.25277726381076,,False,True
100000000031787100,transit,1.0,9,0.539624,"In 90k KZT / out 90k KZT (ratio 1.00), 67% forwarded within 2 days — pattern consistent with transit.",2,False,1,2,90000.0,90000.0,1.0,1,48180.075705768475,,True,True
100000000041368100,terminal,1.0,5,0.713379,"Receives 160k KZT from 1 payer, forwards 0%; outflow was traced (hop 1) — possible final recipient.",1,False,1,0,160000.0,0.0,0.0,10,169543.3842674089,,True,True
100000000076451100,peripheral,0.6,2,0.516935,"No role indicators: 3 payers, 4 recipients, 88k KZT in / 58k KZT out.",2,False,3,4,87707.0,58000.0,0.661292713238396,7,6868.071869544533,,True,True
100000000089154100,distributor,0.6667,0,0.572538,Fans out to 15 recipients (426k KZT) against 1 payer — pattern consistent with a distribution layer.,1,False,1,15,10000.0,425500.0,42.55,7,10098.098747595155,,True,True
100000000190228100,peripheral,0.6,9,0.47155,"No role indicators: 1 payer, 1 recipient, 5k KZT in / 29k KZT out.",2,False,1,1,5000.0,28560.0,5.712,8,2390.7380926073038,,True,True
100000000201868100,transit,1.0,2,0.630149,"In 190k KZT / out 190k KZT (ratio 1.00), 100% forwarded within 2 days — pattern consistent with transit.",2,False,1,1,190000.0,190000.0,1.0,7,55949.78992564656,,True,True
100000000254336100,peripheral,0.6,3,0.364611,"No role indicators: 2 payers, 1 recipient, 97k KZT in / 60k KZT out.",3,False,2,1,97177.0,60000.0,0.6174300503205491,7,194.03414047340954,,True,True
100000000267734100,peripheral,0.6,9,0.489455,"No role indicators: 2 payers, 7 recipients, 180k KZT in / 282k KZT out.",1,False,2,7,180000.0,282000.0,1.5666666666666667,1,150964.2372114079,,True,True
100000000274067100,peripheral,0.6,9,0.495016,"No role indicators: 2 payers, 3 recipients, 518k KZT in / 3.0M KZT out.",1,False,2,3,517704.0,2969000.0,5.734937338710924,1,241924.44893902537,,True,True
100000000287768100,terminal,1.0,3,0.428681,"Receives 35k KZT from 1 payer, forwards 0%; outflow was traced (hop 3) — possible final recipient.",3,False,1,0,35168.0,0.0,0.0,7,171.91359152905758,,True,True
100000000288317100,peripheral,0.6,3,0.406092,"No role indicators: 2 payers, 3 recipients, 100k KZT in / 54k KZT out.",3,False,2,3,100000.0,53500.0,0.535,7,1075.8768385620538,,True,True
100000000291906100,peripheral,0.6,39,0.447573,"No role indicators: 2 payers, 2 recipients, 388k KZT in / 456k KZT out.",2,False,2,2,388000.0,455854.0,1.1748814432989692,7,9853.420921163914,,True,True
100000000291908100,terminal,0.5499,39,0.505416,"Receives 296k KZT from 1 payer, forwards 5%; outflow was traced (hop 3) — possible final recipient.",3,False,1,1,295500.0,13300.0,0.045008460236886635,7,6197.7348460590865,,True,True
100000000297649100,peripheral,0.6,12,0.457048,"No role indicators: 1 payer, 1 recipient, 40k KZT in / 71k KZT out.",2,False,1,1,40000.0,70600.0,1.765,8,3628.687520431924,,True,True
100000000299820100,cutoff,0.7,3,0.343714,Hop-4 node: onward transfers were not traced (export limit). Receives 10k KZT from 1 payer.,4,False,1,0,10000.0,0.0,,7,66.70948188324284,,False,True
100000000307908100,terminal,1.0,40,0.478258,"Receives 5k KZT from 1 payer, forwards 0%; outflow was traced (hop 2) — possible final recipient.",2,False,1,0,5000.0,0.0,0.0,1,1571.4370287016336,,True,True
100000000331309100,consolidator,0.5,4,0.751206,"Receives from 5 distinct payers, 985k KZT; forwards 999% — signs of consolidation. Also matches: distributor.",2,False,5,99,984635.0,23001375.0,23.360306103276848,7,27333.537287825642,distributor,True,True
100000000332284100,consolidator,1.0,0,0.740796,"Receives from 10 distinct payers, 107k KZT; forwards 269% — signs of consolidation.",2,False,10,3,107426.0,289500.0,2.69487833485376,7,6602.425991550781,,True,True
100000000343175100,consolidator,0.8,15,0.312335,"Receives from 8 distinct payers (1 seed), 179k KZT; forwards 999% — signs of consolidation. Also matches: distributor.",0,True,8,31,178712.0,4000039.0,,7,0.0,distributor,True,False
100000000369781100,cutoff,0.7,4,0.301844,Hop-4 node: onward transfers were not traced (export limit). Receives 5k KZT from 1 payer.,4,False,1,0,5000.0,0.0,,7,5.722401999717971,,False,True
100000000375150100,cutoff,0.7,13,0.559918,Hop-4 node: onward transfers were not traced (export limit). Receives 300k KZT from 1 payer.,4,False,1,0,300000.0,0.0,,10,21636.823520198184,,False,True
100000000404740100,cutoff,0.7,26,0.391257,Hop-4 node: onward transfers were not traced (export limit). Receives 25k KZT from 1 payer.,4,False,1,0,25000.0,0.0,,7,385.7322534143751,,False,True
100000000408846100,terminal,1.0,27,0.372631,"Receives 40k KZT from 1 payer, forwards 0%; outflow was traced (hop 3) — possible final recipient.",3,False,1,0,40500.0,0.0,0.0,7,12.439240723204923,,True,True
100000000413678100,peripheral,0.6,14,0.436119,"No role indicators: 2 payers, 3 recipients, 306k KZT in / 528k KZT out.",3,False,2,3,306500.0,528198.0,1.723321370309951,7,185.2541986529581,,True,True
100000000424935100,cutoff,0.7,23,0.331092,Hop-4 node: onward transfers were not traced (export limit). Receives 15k KZT from 1 payer.,4,False,1,0,15000.0,0.0,,7,36.38647972583206,,False,True
100000000425407100,terminal,1.0,3,0.503303,"Receives 20k KZT from 1 payer, forwards 0%; outflow was traced (hop 2) — possible final recipient.",2,False,1,0,20000.0,0.0,0.0,7,5663.731799872608,,True,True
100000000437046100,consolidator,0.9,3,0.760525,"Receives from 9 distinct payers, 1.1M KZT; forwards 687% — signs of consolidation. Also matches: distributor.",2,False,9,42,1107200.0,7606224.0,6.86978323699422,7,37243.4018027887,distributor,True,True
100000000440392100,terminal,1.0,2,0.640603,"Receives 106k KZT from 1 payer, forwards 0%; outflow was traced (hop 1) — possible final recipient.",1,False,1,0,105705.0,0.0,0.0,7,106910.47598839032,,True,True
100000000456947100,peripheral,0.9,69,0.061431,Known seed; no transfers above the export threshold observed in the covered period.,0,True,0,0,0.0,0.0,,0,0.0,,True,False
100000000470237100,cutoff,0.7,2,0.49397,Hop-4 node: onward transfers were not traced (export limit). Receives 32k KZT from 1 payer.,4,False,1,0,32500.0,0.0,,7,2289.3568064586516,,False,True
100000000481716100,terminal,1.0,8,0.534242,"Receives 8k KZT from 1 payer, forwards 0%; outflow was traced (hop 3) — possible final recipient.",3,False,1,0,8000.0,0.0,0.0,7,1166.152240400029,,True,True
100000000489417100,transit,0.8081,13,0.617949,"In 74k KZT / out 80k KZT (ratio 1.09), 100% forwarded within 2 days — pattern consistent with transit.",2,False,3,1,73504.0,80000.0,1.0883761427949499,7,23724.398759638512,,True,True
100000000490383100,peripheral,0.6,2,0.519159,"No role indicators: 3 payers, 8 recipients, 63k KZT in / 461k KZT out.",2,False,3,8,62600.0,461375.0,7.37020766773163,7,7510.395025412354,,True,True
100000000500040100,cutoff,0.7,0,0.325509,Hop-4 node: onward transfers were not traced (export limit). Receives 20k KZT from 1 payer.,4,False,1,0,20000.0,0.0,,7,4.070497740126857,,False,True
100000000507799100,peripheral,0.6,33,0.366524,"No role indicators: 1 payer, 1 recipient, 5k KZT in / 8k KZT out.",1,False,1,1,5132.0,8000.0,1.558846453624318,7,5190.526112978753,,True,True
100000000533217100,terminal,1.0,0,0.588356,"Receives 54k KZT from 1 payer, forwards 0%; outflow was traced (hop 2) — possible final recipient.",2,False,1,0,53587.0,0.0,0.0,7,52244.59641835692,,True,True
100000000534581100,peripheral,0.6,13,0.384406,"No role indicators: 2 payers, 1 recipient, 56k KZT in / 40k KZT out.",3,False,2,1,55960.0,40000.0,0.7147962830593281,7,412.1775729307481,,True,True
100000000542087100,cutoff,0.7,4,0.292502,Hop-4 node: onward transfers were not traced (export limit). Receives 9k KZT from 1 payer.,4,False,1,0,8506.91,0.0,,7,0.3936250206534714,,False,True
100000000552584100,terminal,0.77,25,0.570007,"Receives 2.5M KZT from 1 payer, forwards 2%; outflow was traced (hop 3) — possible final recipient.",3,False,1,1,2500000.0,57500.0,0.023,2,37280.28890890248,,True,True
100000000555721100,terminal,1.0,0,0.665736,"Receives 113k KZT from 2 payers, forwards 0%; outflow was traced (hop 1) — possible final recipient.",1,False,2,0,113000.0,0.0,0.0,7,96149.58198319198,,True,True
100000000557536100,cutoff,0.7,4,0.303512,Hop-4 node: onward transfers were not traced (export limit). Receives 153k KZT from 1 payer.,4,False,1,0,153000.0,0.0,,7,7.079495158639402,,False,True
100000000560751100,terminal,1.0,13,0.461933,"Receives 25k KZT from 1 payer, forwards 0%; outflow was traced (hop 3) — possible final recipient.",3,False,1,0,25000.0,0.0,0.0,7,601.1987608565271,,True,True
100000000561160100,cutoff,0.7,3,0.396372,Hop-4 node: onward transfers were not traced (export limit). Receives 240k KZT from 1 payer.,4,False,1,0,240000.0,0.0,,7,478.1487339891225,,False,True
100000000569479100,terminal,1.0,3,0.5003,"Receives 320k KZT from 1 payer, forwards 0%; outflow was traced (hop 3) — possible final recipient.",3,False,1,0,320000.0,0.0,0.0,7,4746.980911819899,,True,True
100000000572276100,peripheral,0.6,50,0.152211,"No role indicators: 1 payer, 1 recipient, 13k KZT in / 35k KZT out.",3,False,1,1,13075.0,34547.0,2.6422179732313578,1,8.789912730629393,,True,True
100000000580561100,peripheral,0.6,41,0.123342,"No role indicators: 2 payers, 3 recipients, 28k KZT in / 1.5M KZT out.",0,True,2,3,27980.0,1488077.0,,0,0.0,,True,False
100000000581662100,cutoff,0.7,11,0.250732,Hop-4 node: onward transfers were not traced (export limit). Receives 21k KZT from 1 payer.,4,False,1,0,21160.0,0.0,,2,6.776388766639825,,False,True
100000000581682100,cutoff,0.7,23,0.312186,Hop-4 node: onward transfers were not traced (export limit). Receives 5k KZT from 1 payer.,4,False,1,0,5000.0,0.0,,7,12.128826575277355,,False,True
100000000583220100,peripheral,0.6,14,0.331937,"No role indicators: 1 payer, 1 recipient, 5k KZT in / 761k KZT out.",3,False,1,1,5000.0,761255.0,152.251,7,40.22739859098998,,True,True
100000000594783100,peripheral,0.6,25,0.436341,"No role indicators: 1 payer, 2 recipients, 2.6M KZT in / 152k KZT out.",3,False,1,2,2635000.0,152500.0,0.05787476280834915,2,39293.42450998322,,True,True
100000000596954100,peripheral,0.6,5,0.572596,"No role indicators: 1 payer, 2 recipients, 120k KZT in / 48k KZT out.",2,False,1,2,120000.0,48100.0,0.4008333333333333,10,101003.68772476255,,True,True
100000000600707100,cutoff,0.7,31,0.364611,Hop-4 node: onward transfers were not traced (export limit). Receives 89k KZT from 1 payer.,4,False,1,0,89000.0,0.0,,1,5868.82271468144,,False,True
100000000607731100,peripheral,0.6,51,0.326644,"No role indicators: 1 payer, 1 recipient, 20k KZT in / 67k KZT out.",1,False,1,1,20000.0,66666.0,3.3333,1,24315.08818294505,,True,True
100000000607941100,peripheral,0.6,2,0.504468,"No role indicators: 2 payers, 1 recipient, 50k KZT in / 70k KZT out.",2,False,2,1,50000.0,70000.0,1.4,7,6683.554338494775,,True,True
100000000608031100,cutoff,0.7,17,0.344993,Hop-4 node: onward transfers were not traced (export limit). Receives 30k KZT from 1 payer.,4,False,1,0,30000.0,0.0,,7,72.26586170501169,,False,True
100000000611474100,terminal,1.0,24,0.472387,"Receives 32k KZT from 1 payer, forwards 0%; outflow was traced (hop 3) — possible final recipient.",3,False,1,0,32000.0,0.0,0.0,7,999.7942263799736,,True,True
